True,0,1,2,3,4,5,6,All
0,1199,13,8,7,48,2,2,1279
1,6,1188,5,37,7,1,2,1246
2,7,15,1194,35,7,3,0,1261
3,8,34,7,1172,9,3,0,1233
4,28,5,1,10,1180,0,1,1225
5,10,28,11,44,5,1187,1,1286
6,49,16,4,9,22,9,1067,1176
All,1307,1299,1230,1314,1278,1205,1073,8706
