272465,122080,113337
413127,143363,133089
260896,97584,90015
382450,131411,123742
275035,80614,74232
347423,128993,117090
171615,65065,59406
352768,141856,131936
370154,165113,152736
192173,78105,72307
318405,127801,117801
331947,102481,93723
133835,39631,37315
174974,35837,33499
152933,8485,7805
111257,38931,36478
211853,20333,18944
193187,45720,42589
179240,45093,42369
136650,37159,34841
141238,35950,33873
229073,36666,34002
125014,54061,51340
167818,42373,39235
249468,42899,39988
172601,32847,30504
198500,29833,27941
213143,52944,49481
223186,59651,55589
204777,47318,44257
205404,49780,46171
155158,33941,31356
206161,42329,39836
188353,33438,31996
96837,33025,30260
115477,28063,25917
91031,26114,25597
127633,40257,37426
104214,32490,29765
135720,45958,42338
90760,25987,23660
111253,27694,27095
109905,38085,35120
115282,31150,28382
122601,35604,33244
104844,29540,26937
