kingdom fungi
phylum ascomycota
class eurotiomycetes
family aspergillaceae
genus aspergillus
class dothideomycetes
genus oculimacula
order saccharomycetales
family debaryomycetaceae
genus yamadazyma
family dipodascaceae
family metschnikowiaceae
genus pichia
family saccharomycetaceae
genus candida
genus kluyveromyces
family trichomonascaceae
class sordariomycetes
order diaporthales
genus diaporthe
genus asteroma
phylum basidiomycota
