analysis/Consensus/apping/custom/zygoas,Count
Zygoascus_hellenicus,1488
Blastobotrys_proliferans,2
Zymoseptoria_tritici,2
Yamadazyma_mexicana,2
Saccharomyces_cerevisiae,1
Galactomyces_geotrichum,1
Rhodotorula_mucilaginosa,1
Candida_orthopsilosis,1
Cryptococcus_neoformans,1
