analysis/Consensus/apping/custom/yamad,Count
Yamadazyma_scolyti,974
Yamadazyma_mexicana,489
Meyerozyma_guillermondii,14
Candida_zeylanoides,7
Cryptococcus_neoformans,4
Kluyveromyces_lactis,3
Candida_parapsilosis,2
Penicillium_chrysogenum,1
Galactomyces_geotrichum,1
Aspergillus_niger,1
Dothiorella_vidmadera,1
Aspergillus_flavus,1
Zygoascus_hellenicus,1
Kluyveromyces_marxianus,1
