analysis/Consensus/apping/custom/candida,Count
Candida_parapsilosis,1254
Kluyveromyces_lactis,105
Candida_metapsilosis,41
Meyerozyma_guillermondii,36
Candida_albicans,25
Candida_zeylanoides,10
Cryptococcus_gattii,5
Candida_orthopsilosis,4
Clavispora_lusitaniae,3
Yamadazyma_scolyti,3
Wickerhamomyces_anomalus,3
Pichia_membranifaciens,2
Cladophialophora_sp.,2
Yamadazyma_mexicana,1
Pichia_kudriavzevii,1
Galactomyces_geotrichum,1
Zymoseptoria_tritici,1
Saccharomyces_cerevisiae,1
Diaporthe_sp.,1
