analysis/Consensus/apping/custom/candid,Count
Candida_parapsilosis,1275
Kluyveromyces_lactis,111
Candida_albicans,28
Candida_orthopsilosis,24
Meyerozyma_guillermondii,15
Candida_metapsilosis,15
Cryptococcus_gattii,8
Candida_zeylanoides,7
Kodamaea_ohmeri,4
Cryptococcus_neoformans,3
Yamadazyma_mexicana,2
Yamadazyma_scolyti,2
Zygoascus_hellenicus,1
Wickerhamomyces_anomalus,1
Galactomyces_geotrichum,1
Clavispora_lusitaniae,1
Kluyveromyces_marxianus,1
