analysis/Consensus/apping/custom/yama,Count
Yamadazyma_scolyti,986
Yamadazyma_mexicana,483
Meyerozyma_guillermondii,12
Candida_zeylanoides,4
Wickerhamomyces_anomalus,4
Kluyveromyces_lactis,2
Dothiorella_vidmadera,2
Candida_parapsilosis,2
Kluyveromyces_marxianus,1
Saccharomyces_cerevisiae,1
Candida_metapsilosis,1
Cryptococcus_zero,1
Yarrowia_lipolytica,1
