analysis/Consensus/apping/custom/debaryomyce,Count
Candida_zeylanoides,1417
Meyerozyma_guillermondii,43
Clavispora_lusitaniae,8
Yamadazyma_scolyti,7
Wickerhamomyces_anomalus,5
Yamadazyma_mexicana,4
Candida_metapsilosis,3
Kluyveromyces_lactis,2
Candida_orthopsilosis,2
Candida_parapsilosis,2
Candida_albicans,2
Kodamaea_ohmeri,1
Zygoascus_hellenicus,1
Yarrowia_lipolytica,1
Cryptococcus_neoformans,1
