analysis/Consensus/apping/custom/pichi,Count
Pichia_kudriavzevii,1452
Pichia_membranifaciens,42
Candida_albicans,2
Wickerhamomyces_anomalus,2
Galactomyces_geotrichum,1
Zymoseptoria_tritici,1
