analysis/Consensus/apping/custom/asp,Count
Aspergillus_flavus,734
Aspergillus_sp.,665
Penicillium_chrysogenum,68
Aspergillus_niger,26
Tuber_brumale,2
Dothiorella_vidmadera,2
Saccharomyces_cerevisiae,1
Pyrenophora_tritici-repentis,1
Zymoseptoria_tritici,1
