analysis/Consensus/apping/custom/candid,Count
Candida_albicans,1282
Candida_orthopsilosis,57
Candida_metapsilosis,53
Candida_parapsilosis,48
Kluyveromyces_lactis,26
Meyerozyma_guillermondii,13
Yamadazyma_mexicana,6
Candida_zeylanoides,4
Clavispora_lusitaniae,2
Yamadazyma_scolyti,2
Saccharomyces_cerevisiae,1
Blastobotrys_proliferans,1
Cryptococcus_neoformans,1
Kodamaea_ohmeri,1
Zygoascus_hellenicus,1
Pichia_kudriavzevii,1
Entoleuca_sp.,1
