analysis/Consensus/apping/custom/cortinarius,Count
Cortinarius_globuliformis,1486
Aspergillus_sp.,2
Rhodotorula_mucilaginosa,2
CCL067,1
Fusarium_oxysporum,1
Cryptococcus_neoformans,1
Dothiorella_vidmadera,1
Tapesia_yallundae_CCL029,1
Pyrenophora_tritici-repentis,1
Blastobotrys_proliferans,1
