analysis/Consensus/apping/custom/a,Count
CCL067,1339
CCL068,76
CCL060,48
Diaporthe_sp.,27
Tapesia_yallundae_CCL031,3
Tapesia_yallundae_CCL029,2
Rhodotorula_mucilaginosa,1
Scedosporium_boydii,1
Pyrenophora_tritici-repentis,1
Cryptococcus_zero,1
Aspergillus_niger,1
