analysis/Consensus/apping/custom/wickerhamo,Count
Wickerhamomyces_anomalus,1456
Candida_zeylanoides,11
Meyerozyma_guillermondii,7
Candida_metapsilosis,4
Yamadazyma_scolyti,3
Candida_orthopsilosis,3
Candida_parapsilosis,2
Kluyveromyces_marxianus,2
Kluyveromyces_lactis,2
Candida_albicans,2
Yamadazyma_mexicana,1
Galactomyces_geotrichum,1
Tapesia_yallundae_CCL031,1
Cryptococcus_neoformans,1
Zygoascus_hellenicus,1
Yarrowia_lipolytica,1
Saccharomyces_cerevisiae,1
Penicillium_chrysogenum,1
