analysis/Consensus/apping/custom/oculimacula_ya,Count
Tapesia_yallundae_CCL031,833
Tapesia_yallundae_CCL029,661
CCL060,2
Kluyveromyces_lactis,1
CCL068,1
Entoleuca_sp.,1
Zymoseptoria_tritici,1
