analysis/Consensus/apping/custom/cladophialophor,Count
Cladophialophora_sp.,1489
Tapesia_yallundae_CCL031,2
Zymoseptoria_tritici,2
Galactomyces_geotrichum,1
CCL068,1
Scedosporium_boydii,1
Fusarium_oxysporum,1
Candida_orthopsilosis,1
Cryptococcus_neoformans,1
Aspergillus_sp.,1
