analysis/Consensus/apping/custom/aspe,Count
Aspergillus_flavus,1183
Aspergillus_niger,172
Aspergillus_sp.,90
Penicillium_chrysogenum,50
CCL068,1
Scedosporium_boydii,1
Candida_orthopsilosis,1
Candida_zeylanoides,1
Kodamaea_ohmeri,1
