analysis/Consensus/apping/custom/meyerozyma,Count
Meyerozyma_guillermondii,1422
Candida_zeylanoides,37
Candida_orthopsilosis,9
Wickerhamomyces_anomalus,6
Yamadazyma_scolyti,6
Yamadazyma_mexicana,5
Cryptococcus_neoformans,5
Candida_albicans,2
Candida_metapsilosis,1
Puccinia_striiformis_tritici,1
Kluyveromyces_lactis,1
Zygoascus_hellenicus,1
Candida_parapsilosis,1
Kodamaea_ohmeri,1
Fusarium_oxysporum,1
Tapesia_yallundae_CCL031,1
