analysis/Consensus/apping/custom/fusa,Count
Fusarium_oxysporum,1479
CCL067,4
Scedosporium_boydii,4
Zymoseptoria_tritici,3
Diaporthe_sp.,2
Puccinia_striiformis_tritici,1
Candida_metapsilosis,1
Cryptococcus_zero,1
CCL060,1
Aspergillus_niger,1
CCL068,1
