analysis/Consensus/apping/custom/oculimacula_ya,Count
Tapesia_yallundae_CCL029,1333
Tapesia_yallundae_CCL031,148
Dothiorella_vidmadera,4
Cladophialophora_sp.,3
Pyrenophora_tritici-repentis,2
CCL067,1
Candida_orthopsilosis,1
Wickerhamomyces_anomalus,1
Tuber_brumale,1
Quambalaria_cyanescens,1
Blastobotrys_proliferans,1
Cryptococcus_zero,1
Aspergillus_flavus,1
Zygoascus_hellenicus,1
Yamadazyma_mexicana,1
