analysis/Consensus/apping/custom/blastobotr,Count
Blastobotrys_proliferans,1492
Kluyveromyces_lactis,2
Candida_albicans,1
Zygoascus_hellenicus,1
Candida_parapsilosis,1
Saccharomyces_cerevisiae,1
Wickerhamomyces_anomalus,1
Candida_orthopsilosis,1
