analysis/Consensus/apping/custom/scedo,Count
Scedosporium_boydii,1482
Fusarium_oxysporum,9
Entoleuca_sp.,2
Aspergillus_flavus,2
CCL068,1
Zymoseptoria_tritici,1
Aspergillus_niger,1
Dothiorella_vidmadera,1
