analysis/Consensus/apping/custom/candid,Count
Candida_metapsilosis,1118
Candida_orthopsilosis,240
Kluyveromyces_lactis,47
Candida_parapsilosis,22
Candida_albicans,22
Meyerozyma_guillermondii,12
Candida_zeylanoides,11
Yamadazyma_scolyti,5
Cryptococcus_gattii,4
Yamadazyma_mexicana,4
Kodamaea_ohmeri,4
Clavispora_lusitaniae,3
Saccharomyces_cerevisiae,2
Tuber_brumale,1
Pichia_membranifaciens,1
Cryptococcus_neoformans,1
Aspergillus_niger,1
Zygoascus_hellenicus,1
Wickerhamomyces_anomalus,1
