analysis/Consensus/apping/custom/di,Count
CCL068,1281
CCL067,155
CCL060,40
Diaporthe_sp.,17
Entoleuca_sp.,2
Cryptococcus_zero,1
Candida_albicans,1
Tapesia_yallundae_CCL031,1
Aspergillus_flavus,1
Dothiorella_vidmadera,1
